Albumn,Artist,Release date,Genre,Label,Meta_Score
Wrong Creatures,Black Rebel Motorcycle Club,Jan 12 2018,['Pop/Rock'],['Vagrant Records'],69
No Cross No Crown,Corrosion of Conformity,Jan 12 2018,['Pop/Rock'],['Nuclear Blast'],77
Encore,Anderson East,Jan 12 2018,['Singer-Songwriter'],['Low Country Sound'],74
A Day With The Homies [EP],Panda Bear,Jan 12 2018,['Pop/Rock'],['Domino'],74
Four Stones,Dean McPhee,Jan 12 2018,['Alternative'],['Hood Faire'],84
Songs of Praise,Shame,Jan 12 2018,['Pop/Rock'],['Dead Oceans Records'],84
Camila,Camila Cabello,Jan 12 2018,['Pop'],['Epic'],75
Vale,Black Veil Brides,Jan 12 2018,['Alternative/Indie Rock'],"['Island ', ' Republic']",66
Underworld,Tonight Alive,Jan 12 2018,['Pop/Rock'],['Hopeless Records'],63
Ringthing,Jaguwar,Jan 12 2018,['Pop/Rock'],['Tapete Records'],66
Blue Madonna,BØRNS,Jan 12 2018,['Pop'],['Interscope'],67
POST-,Jeff Rosenstock,Jan 2 2018,['Pop/Rock'],['Polyvinyl'],90
I,Kaukolampi,Dec 22 2017,['Electronic'],['Svart'],74
Rainbow Mirror,Prurient,Dec 22 2017,['Avant-Garde'],['Profound Lore'],72
"Huncho Jack, Jack Huncho",Huncho Jack,Dec 21 2017,['Rap'],['Virgin EMI'],66
Saturation III,BROCKHAMPTON,Dec 15 2017,['Rap'],['BROCKHAMPTON'],82
No One Ever Really Dies,N.E.R.D,Dec 15 2017,['Pop/Rock'],['Columbia'],74
Revival,Eminem,Dec 15 2017,['Rap'],['Aftermath'],50
Box Set #4: Curated by Erykah Badu [Box Set],Fela Kuti,Dec 15 2017,['International'],['Knitting Factory Records'],87
Pop 2 [Mixtape],Charli XCX,Dec 15 2017,['Pop/Rock'],['Atlantic'],84
The Beautiful & Damned,G-Eazy,Dec 15 2017,['Rap'],['RCA'],59
Pressure,Jeezy,Dec 15 2017,['Rap'],['Def Jam'],66
Asking Alexandria,Asking Alexandria,Dec 15 2017,['Pop/Rock'],['Sumerian Records'],73
Laughing At The System [EP],Total Control,Dec 8 2017,['Pop/Rock'],['Alter'],83
Goin' Platinum!,Robert Finley,Dec 8 2017,['Pop'],['Nonesuch'],81
First Light,Dan Michaelson,Dec 8 2017,['Pop/Rock'],['The State51 Conspiracy'],79
Tribute to 2,Jim James,Dec 8 2017,['Pop/Rock'],['ATO'],72
Finding Shore,Tom Rogerson,Dec 8 2017,['Pop/Rock'],['Dead Oceans Records'],74
"How to Solve Our Human Problems, Pt. 1 [EP]",Belle and Sebastian,Dec 8 2017,['Pop/Rock'],['Matador'],76
QTY,QTY,Dec 8 2017,['Pop/Rock'],['Dirty Hit'],72
You Might Be Smiling Now,The Just Joans,Dec 8 2017,['Pop/Rock'],['Fika Recordings'],72
Double Or Nothing,Big Sean,Dec 8 2017,['Rap'],['Def Jam'],54
Thanks for Listening,Chris Thile,Dec 8 2017,['Folk'],['Nonesuch'],72
What Makes You Country,Luke Bryan,Dec 8 2017,['Country'],['Capitol Nashville'],60
Rubba Band Business: The Album,Juicy J,Dec 8 2017,['Rap'],['Columbia'],59
Lex,Visible Cloaks,Dec 8 2017,['Electronic'],['RVNG Intl.'],77
2 Tha Left,G Perico,Dec 8 2017,['Rap'],['Caroline'],82
War & Leisure,Miguel,Dec 1 2017,['R&B'],['RCA'],81
My House From All Angles,Mike Dunn,Dec 1 2017,['Electronic'],[],66
Versatile,Van Morrison,Dec 1 2017,['Pop/Rock'],['SMG'],68
In An Open Field,Nicholas Krgovich,Dec 1 2017,['Pop/Rock'],['Tin Angel'],72
The Visitor,Neil Young,Dec 1 2017,['Folk-Rock'],['Reprise'],68
Songs of Experience,U2,Dec 1 2017,['Pop/Rock'],['Interscope'],63
Change,Cindy Wilson,Dec 1 2017,['Pop/Rock'],['Kill Rock Stars'],74
On Air,The Rolling Stones,Dec 1 2017,['Pop/Rock'],['Universal'],82
Weighing of the Heart,Nabihah Iqbal,Dec 1 2017,['Pop/Rock'],['Ninja Tune'],77
Livin' in Elizabethan Times,Alien Stadium,Dec 1 2017,['Pop/Rock'],['Double Six'],79
From the Trees,Peter Hammill,Dec 1 2017,['Pop/Rock'],['Fie!'],84
"From a Room, Vol. 2",Chris Stapleton,Dec 1 2017,['Country'],['Mercury Nashville'],80
Material Control,Glassjaw,Dec 1 2017,['Pop/Rock'],['Century Media'],76
Habibi Funk: An Eclectic Selection,Various Artists,Dec 1 2017,['International'],['Habibi Funk'],73
All Together Again,Peter Broderick,Dec 1 2017,['Pop/Rock'],['Erased Tapes Records'],82
The Way Is Read,The Staves,Dec 1 2017,['Classical'],['Nonesuch'],72
Singles 1978-2016 [Box Set],The Fall,Dec 1 2017,['Punk'],['Cherry Red'],86
Say Less,Roy Wood$,Dec 1 2017,['R&B'],['Warner Bros.'],66
Prins Thomas 5,Prins Thomas,Dec 1 2017,['Electronic'],['Prins Thomas Musikk'],78
The  Moon and the Village,Nick Garrie,Dec 1 2017,['Pop/Rock'],['Tapete Records'],76
Who Built the Moon?,Noel Gallagher's High Flying Birds,Nov 24 2017,['Pop/Rock'],['Caroline'],76
Utopia,Björk,Nov 24 2017,['Pop/Rock'],['One Little Indian'],82
The Greatest Gift,Sufjan Stevens,Nov 24 2017,['Pop/Rock'],['Asthmatic Kitty'],71
Xenoula,Xenoula,Nov 24 2017,['Pop/Rock'],['Weird World'],72
Polygondwanaland,King Gizzard & the Lizard Wizard,Nov 18 2017,['Pop/Rock'],['ATO'],78
The Architect,Paloma Faith,Nov 17 2017,['Pop/Rock'],['RCA'],72
Syre,Jaden Smith,Nov 17 2017,['Rap'],['MSFTS'],69
(It Was) Because I Was In Love [Deluxe Reissue],Sharon Van Etten,Nov 17 2017,['Pop/Rock'],[],79
Blue Lips,Tove Lo,Nov 17 2017,['Pop'],['Island'],74
Low in High School,Morrissey,Nov 17 2017,['Pop/Rock'],['BMG'],59
Wizard Bloody Wizard,Electric Wizard,Nov 17 2017,['Pop/Rock'],['Spinefarm Records'],74
If All I Was Was Black,Mavis Staples,Nov 17 2017,['R&B'],['Anti-'],80
Soul of a Woman,Sharon Jones & the Dap-Kings,Nov 17 2017,['R&B'],['Daptone'],86
Memory of a Cut Off Head,OCS,Nov 17 2017,['Pop/Rock'],['Castle Face'],73
Rest,Charlotte Gainsbourg,Nov 17 2017,['Pop/Rock'],['Atlantic'],80
Out Her Space,Karl Blau,Nov 17 2017,['Pop/Rock'],['Bella Union'],77
Ascending a Mountain of Heavy Light,The Body,Nov 17 2017,['Pop/Rock'],['Thrill Jockey'],82
Romaplasm,Baths,Nov 17 2017,['Electronic'],['Anticon'],73
Bajas Fresh,Bitchin Bajas,Nov 17 2017,['Pop/Rock'],['Drag City'],77
A Pocket of Wind Resistance,Karine Polwart,Nov 17 2017,['Folk'],['Hudson'],84
Everyday Is Christmas,Sia,Nov 17 2017,['Holiday'],['Atlantic'],59
Improvisations,Charles Hayward,Nov 17 2017,['Pop/Rock'],['Care In The Community'],65
Post Self,Godflesh,Nov 17 2017,['Pop/Rock'],['Shellshock'],84
Radio Silence,Talib Kweli,Nov 17 2017,['Rap'],['Javotti Media'],78
Unleash the Love,Mike Love,Nov 17 2017,['Adult Contemporary'],['BMG'],43
Diggin in the Carts: A Collection Of Pioneering Japanese Video Game Music,Various Artists,Nov 17 2017,['Pop/Rock'],['Hyperdub'],82
From the Poisonous Tree,Electric Eye,Nov 17 2017,['Pop/Rock'],['Relativity Entertainment'],64
I Knew You When,Bob Seger,Nov 17 2017,['Pop/Rock'],['Capitol'],61
